학번,성함,성별,이메일,RC,호실,1001,1002,1003,1004,1005,1006,1007,1008,1009,1028
22000001,김가윤,F,22000001@handong.edu,장기려,221,23:17:39,23:31:29,23:58:29,23:04:34,23:10:18,23:20:45,23:55:09,23:51:01,23:33:44,
22000002,김다윤,F,22000002@handong.edu,장기려,218,23:43:53,23:25:00,23:46:30,23:32:00,23:00:29,23:09:23,23:32:52,23:02:07,23:37:28,23:41:57
22000003,김도윤,M,22000003@handong.edu,장기려,114,23:29:42,23:07:45,23:53:14,23:35:29,23:32:19,23:59:52,23:00:31,23:30:50,23:39:50,
22000004,김도현,M,22000004@handong.edu,장기려,116,23:57:14,,23:19:39,23:35:25,23:42:12,23:58:38,23:51:31,23:43:16,23:32:40,
22000005,김민서,F,22000005@handong.edu,장기려,205,23:24:03,23:58:36,23:08:33,23:39:12,23:52:54,23:59:50,23:50:18,23:04:01,23:22:14,
22000006,김민성,M,22000006@handong.edu,장기려,123,23:27:26,23:26:02,,23:03:58,,23:54:48,23:20:38,23:34:25,23:06:39,
22000007,김서연,F,22000007@handong.edu,장기려,219,23:20:08,23:35:22,23:03:55,23:08:55,23:29:48,23:00:58,23:49:15,23:43:43,23:47:31,
22000008,김서우,M,22000008@handong.edu,장기려,124,23:52:36,23:06:40,,23:20:27,23:12:10,23:39:05,23:54:04,23:11:09,23:46:57,
22000009,김서율,F,22000009@handong.edu,장기려,214,23:30:37,23:49:30,23:04:45,,23:29:55,23:02:39,23:07:35,23:25:20,23:16:11,
22000010,김서준,M,22000010@handong.edu,장기려,125,23:56:40,23:22:43,23:55:21,23:29:23,23:24:54,23:31:14,23:19:21,23:17:15,23:19:55,
22000011,김서진,F,22000011@handong.edu,장기려,207,23:43:07,23:30:37,23:18:16,23:08:25,23:37:52,23:21:13,23:59:53,23:29:11,23:37:52,
22000012,김서하,F,22000012@handong.edu,장기려,212,23:50:20,23:16:21,23:32:46,23:18:07,23:37:41,23:53:30,23:16:13,23:03:17,23:56:15,
22000013,김서희,F,22000013@handong.edu,장기려,219,23:08:04,,23:18:58,23:00:15,23:10:41,23:36:30,23:30:59,23:03:59,23:21:19,
22000014,김선우,M,22000014@handong.edu,장기려,105,23:59:53,23:50:29,23:46:55,23:39:05,23:34:46,23:50:10,23:05:34,23:39:11,23:57:38,
22000015,김성현,M,22000015@handong.edu,장기려,102,23:32:28,,,23:09:57,23:38:39,23:54:12,23:52:03,23:22:57,23:53:16,
22000016,김수민,F,22000016@handong.edu,장기려,215,23:31:57,23:53:34,23:19:58,23:19:00,23:43:17,23:34:42,23:21:00,23:07:05,23:08:40,
22000017,김수빈,F,22000017@handong.edu,장기려,208,23:42:44,23:13:17,23:31:38,23:36:42,23:43:42,23:02:15,23:32:59,23:39:20,23:48:00,
22000018,김승민,M,22000018@handong.edu,장기려,124,23:09:54,23:11:40,23:18:04,23:19:40,23:46:24,23:35:02,23:04:22,23:49:59,23:47:31,
22000019,김승아,F,22000019@handong.edu,장기려,224,23:31:30,23:51:54,23:32:39,23:08:29,23:35:08,23:02:22,23:20:17,23:23:34,23:34:52,
22000020,김승원,M,22000020@handong.edu,장기려,117,23:03:01,23:32:03,,23:02:46,23:36:25,23:28:37,,23:24:22,23:39:59,
22000021,김시연,F,22000021@handong.edu,장기려,223,23:22:05,23:33:25,23:06:35,23:32:13,23:51:49,23:08:40,23:25:57,23:02:36,23:14:07,
22000022,김시윤,M,22000022@handong.edu,장기려,107,23:08:58,,23:28:26,23:32:18,23:51:12,23:34:56,23:28:40,23:04:07,23:06:26,
22000023,김시현,F,22000023@handong.edu,장기려,216,23:48:29,,23:10:32,23:39:50,23:08:03,23:38:16,23:53:46,23:02:43,23:36:35,
22000024,김아린,F,22000024@handong.edu,장기려,215,23:40:23,23:08:15,23:12:27,23:59:33,23:43:50,23:34:32,23:52:01,23:17:10,23:11:07,
22000025,김아영,F,22000025@handong.edu,장기려,222,23:36:40,23:09:13,23:26:13,23:12:05,,23:17:33,23:50:48,,23:00:15,
22000026,김연우,M,22000026@handong.edu,장기려,112,23:00:14,23:57:31,23:20:29,,23:16:32,23:24:20,23:45:51,,23:31:56,
22000027,김예원,F,22000027@handong.edu,장기려,223,23:15:18,23:07:19,23:22:57,23:01:49,23:32:14,23:26:17,23:38:45,,23:47:23,
22000028,김예진,F,22000028@handong.edu,장기려,213,23:16:11,23:15:59,23:38:28,23:01:54,23:24:31,,23:18:18,,23:23:59,
22000029,김예찬,M,22000029@handong.edu,장기려,104,23:01:35,23:53:03,23:24:27,23:12:33,23:12:53,23:39:25,23:50:22,,23:31:00,
22000030,김우빈,M,22000030@handong.edu,장기려,122,23:23:57,23:35:37,,23:29:09,23:26:56,23:15:49,23:32:37,,23:27:30,
22000031,김우진,M,22000031@handong.edu,장기려,119,23:03:45,23:20:08,23:12:29,23:44:30,23:48:36,23:27:37,23:43:24,23:59:47,23:15:12,
22000032,김윤성,M,22000032@handong.edu,장기려,124,23:33:34,23:41:13,,23:41:18,23:37:02,23:57:23,23:41:11,23:42:29,23:47:51,
22000033,김윤아,F,22000033@handong.edu,장기려,224,23:42:16,23:59:29,23:20:00,23:41:05,23:57:37,23:22:57,23:51:45,23:02:28,23:16:52,
22000034,김주아,F,22000034@handong.edu,장기려,211,23:32:51,23:02:01,23:20:11,23:03:56,,23:09:11,23:49:20,23:00:13,23:47:14,
22000035,김준성,M,22000035@handong.edu,장기려,113,23:29:45,23:59:54,23:41:49,23:08:36,23:00:22,23:24:44,23:47:44,23:51:21,23:02:37,
22000036,김준희,M,22000036@handong.edu,장기려,109,23:44:35,23:52:04,23:14:30,23:14:52,23:07:32,23:43:21,23:13:39,23:36:59,23:34:23,
22000037,김지민,F,22000037@handong.edu,장기려,205,23:57:23,23:25:52,23:29:00,23:51:28,23:51:54,23:32:14,23:15:39,23:20:40,23:00:31,
22000038,김지수,F,22000038@handong.edu,장기려,221,,23:25:07,23:35:22,23:52:07,23:42:48,23:52:22,23:27:15,23:47:19,23:07:14,
22000039,김지연,F,22000039@handong.edu,장기려,209,23:15:56,23:00:59,23:33:28,,23:18:10,,23:25:19,23:27:34,23:04:51,
22000040,김지원,M,22000040@handong.edu,장기려,111,23:33:27,23:46:52,23:57:19,,23:33:42,23:02:00,23:30:46,,23:11:46,
22000041,김지원,F,22000041@handong.edu,장기려,202,23:15:34,23:03:38,23:38:53,,,,,23:25:07,23:57:14,
22000042,김지율,M,22000042@handong.edu,장기려,117,23:25:23,23:47:42,23:30:53,,,,,23:22:28,23:29:48,
22000043,김지한,M,22000043@handong.edu,장기려,108,23:26:22,23:47:09,23:06:06,,,23:37:13,23:07:24,23:50:05,23:15:27,
22000044,김지호,M,22000044@handong.edu,장기려,125,23:07:34,23:19:52,23:16:18,23:56:22,23:28:25,23:25:25,23:21:22,23:05:30,23:47:56,
22000045,김지후,M,22000045@handong.edu,장기려,102,23:42:15,23:12:35,23:19:12,23:16:18,23:02:48,23:53:40,23:46:18,23:04:21,23:03:50,
22000046,김진우,M,22000046@handong.edu,장기려,108,23:31:07,23:54:57,23:03:48,23:41:52,23:43:36,23:30:26,23:28:01,23:51:34,23:39:18,
22000047,김채은,F,22000047@handong.edu,장기려,219,23:50:41,23:09:46,23:26:13,23:57:19,23:59:41,23:20:12,23:20:26,23:20:46,23:44:43,
22000048,김태양,M,22000048@handong.edu,장기려,110,23:09:13,23:09:08,23:18:57,23:40:24,23:42:46,23:51:33,23:21:37,23:44:22,23:10:25,
22000049,김하연,F,22000049@handong.edu,장기려,204,23:56:05,23:48:58,23:43:53,23:57:19,23:20:34,23:44:34,23:30:52,23:16:05,23:45:24,
22000050,김하율,F,22000050@handong.edu,장기려,206,23:11:22,23:18:25,23:58:38,23:14:11,23:36:02,23:23:44,23:09:56,23:51:23,23:28:27,
22000051,박가은,F,22000051@handong.edu,장기려,210,23:44:18,23:01:32,23:08:32,23:15:51,23:08:39,23:02:11,23:19:32,23:07:14,23:10:33,
22000052,박건우,M,22000052@handong.edu,장기려,103,23:06:26,23:47:31,23:22:16,23:35:53,23:53:26,23:48:01,23:04:12,23:32:46,23:58:31,
22000053,박나윤,F,22000053@handong.edu,장기려,222,23:34:18,23:27:25,23:51:43,23:14:41,23:56:54,23:38:48,23:57:24,23:26:36,23:21:53,
22000054,박나은,F,22000054@handong.edu,장기려,206,23:45:57,23:48:01,23:17:16,23:17:45,23:15:20,23:50:27,23:07:24,23:23:14,23:16:12,
22000055,박동현,M,22000055@handong.edu,장기려,101,23:37:58,23:47:59,23:09:25,23:42:26,23:31:04,23:47:51,23:31:48,23:19:08,23:20:22,
22000056,박민규,M,22000056@handong.edu,장기려,120,23:24:59,23:48:42,23:26:26,23:16:32,23:29:25,23:46:06,23:48:01,23:27:03,23:31:29,
22000057,박민우,M,22000057@handong.edu,장기려,121,23:10:40,23:29:41,23:33:04,23:11:04,23:52:01,23:15:17,23:12:13,23:03:33,23:21:08,
22000058,박민주,F,22000058@handong.edu,장기려,203,23:23:22,23:19:55,23:31:50,23:17:05,23:59:37,,23:00:19,23:47:07,23:36:32,
22000059,박민준,M,22000059@handong.edu,장기려,118,23:37:32,23:50:40,23:27:01,23:59:27,23:44:33,23:15:34,23:49:04,23:03:11,23:01:30,
22000060,박민찬,M,22000060@handong.edu,장기려,105,23:07:14,23:26:49,23:40:53,23:20:11,23:09:06,23:08:28,23:29:33,23:41:20,23:15:21,
22000061,박민채,F,22000061@handong.edu,장기려,209,23:53:10,23:49:49,23:30:54,23:14:51,23:55:33,23:06:47,23:46:40,23:49:02,23:44:38,
22000062,박서우,F,22000062@handong.edu,장기려,221,23:50:54,23:39:58,23:20:05,23:30:38,,23:12:14,23:03:27,23:06:51,23:46:05,
22000063,박서윤,F,22000063@handong.edu,장기려,209,23:56:16,23:12:23,23:10:56,23:50:44,23:21:58,23:15:32,23:23:16,23:30:30,23:27:10,
22000064,박성준,M,22000064@handong.edu,장기려,121,23:02:28,23:01:35,23:06:55,23:40:51,23:25:00,23:17:54,23:47:12,23:29:46,23:35:22,
22000065,박세아,F,22000065@handong.edu,장기려,205,23:20:20,23:07:11,,,,23:10:11,,23:02:28,23:05:58,
22000066,박세은,F,22000066@handong.edu,장기려,224,23:53:04,,23:55:47,,,23:54:06,,23:47:09,23:42:03,
22000067,박수아,F,22000067@handong.edu,장기려,220,23:02:35,,23:23:28,,,23:27:50,,23:37:21,23:15:25,
22000068,박수호,M,22000068@handong.edu,장기려,116,23:40:04,23:37:28,23:39:29,23:19:02,23:34:39,23:38:02,,23:54:42,23:32:09,
22000069,박시아,F,22000069@handong.edu,장기려,210,23:51:02,23:16:28,23:56:32,23:30:47,23:19:32,23:26:32,,23:25:44,23:45:56,
22000070,박시원,M,22000070@handong.edu,장기려,119,23:41:27,23:10:04,23:38:29,23:34:26,23:15:00,23:32:15,,23:38:14,23:30:40,
